
Invoices Entry :9:26:43 AM Tuesday, July 20, 2021
=====================================================================Invoices=====================================================================================
InvoiceNo  20217944929  | DocDate   7/9/2021 12:41:37 PM  | Currency Code  ZWL  | Customer Number   PR7441524099   |Reference    41102  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20214637388  | DocDate   7/9/2021 10:04:41 AM  | Currency Code  ZWL  | Customer Number   PR14542999   |Reference    33374  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20214237294  | DocDate   7/1/2021 3:14:41 AM  | Currency Code  ZWL  | Customer Number   PR78348321407   |Reference    33277  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SF004
InvoiceNo  20214137246  | DocDate   7/6/2021 11:25:58 AM  | Currency Code  ZWL  | Customer Number   PR25906623987   |Reference    33237  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  202133137032  | DocDate   7/7/2021 9:29:39 AM  | Currency Code  ZWL  | Customer Number   PR9649458141   |Reference    33014  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM004
InvoiceNo  202133137016  | DocDate   7/1/2021 9:37:25 AM  | Currency Code  ZWL  | Customer Number   PR34473822048   |Reference    33001  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF002
InvoiceNo  202133036927  | DocDate   7/6/2021 11:47:55 AM  | Currency Code  ZWL  | Customer Number   PR647381372   |Reference    32910  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  202132936702  | DocDate   7/8/2021 7:46:48 AM  | Currency Code  ZWL  | Customer Number   PR23194123609   |Reference    32693  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
InvoiceNo  202132836636  | DocDate   7/8/2021 9:16:43 AM  | Currency Code  ZWL  | Customer Number   PR72255823788   |Reference    32625  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  202132336039  | DocDate   7/4/2021 7:22:33 PM  | Currency Code  ZWL  | Customer Number   PR3203375867   |Reference    32036  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS002
InvoiceNo  202132035796  | DocDate   7/7/2021 11:13:22 AM  | Currency Code  ZWL  | Customer Number   PR45244215403   |Reference    31786  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC010
InvoiceNo  202131735281  | DocDate   7/2/2021 9:42:08 AM  | Currency Code  ZWL  | Customer Number   PR1663081275   |Reference    31294  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GG003
InvoiceNo  202131234796  | DocDate   7/5/2021 4:07:15 PM  | Currency Code  ZWL  | Customer Number   PR4336697876   |Reference    30869  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  202131034426  | DocDate   7/2/2021 9:42:05 AM  | Currency Code  ZWL  | Customer Number   PR1663081275   |Reference    30513  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20213733915  | DocDate   7/7/2021 4:31:31 AM  | Currency Code  ZWL  | Customer Number   PR3274314888   |Reference    29963  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC005
InvoiceNo  202122332286  | DocDate   7/7/2021 9:29:34 AM  | Currency Code  ZWL  | Customer Number   PR9649458141   |Reference    28290  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SF004
InvoiceNo  202122332269  | DocDate   7/7/2021 11:41:10 AM  | Currency Code  ZWL  | Customer Number   PR6619618411   |Reference    28271  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GN005
InvoiceNo  202121831724  | DocDate   7/9/2021 11:14:12 AM  | Currency Code  ZWL  | Customer Number   PR37279722205   |Reference    27701  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  202121631355  | DocDate   7/5/2021 1:20:42 PM  | Currency Code  ZWL  | Customer Number   PR23657722109   |Reference    27362  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  202121531061  | DocDate   7/1/2021 1:06:06 PM  | Currency Code  ZWL  | Customer Number   PR3850002968   |Reference    27136  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202121130552  | DocDate   7/7/2021 4:31:36 AM  | Currency Code  ZWL  | Customer Number   PR3274314888   |Reference    26642  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  202121130507  | DocDate   7/8/2021 7:45:49 AM  | Currency Code  ZWL  | Customer Number   PR75362619010   |Reference    26600  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  202121030309  | DocDate   7/7/2021 9:29:33 AM  | Currency Code  ZWL  | Customer Number   PR9649458141   |Reference    26400  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SA001
InvoiceNo  202121030260  | DocDate   7/2/2021 10:01:59 AM  | Currency Code  ZWL  | Customer Number   PR213195350   |Reference    26363  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC005
InvoiceNo  2021229373  | DocDate   7/8/2021 12:04:47 AM  | Currency Code  ZWL  | Customer Number   PR52403914556   |Reference    25610  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  2021229015  | DocDate   7/3/2021 6:33:27 AM  | Currency Code  ZWL  | Customer Number   PR5645863188   |Reference    25305  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SF004
InvoiceNo  2021228893  | DocDate   7/5/2021 10:32:35 AM  | Currency Code  ZWL  | Customer Number   PR57385110438   |Reference    25195  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  2021228867  | DocDate   7/9/2021 10:01:22 AM  | Currency Code  ZWL  | Customer Number   PR5490506661   |Reference    25179  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  2021228575  | DocDate   7/8/2021 10:19:35 AM  | Currency Code  ZWL  | Customer Number   PR22991013391   |Reference    24901  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  2021126913  | DocDate   7/1/2021 5:48:42 PM  | Currency Code  ZWL  | Customer Number   PR292403882   |Reference    23324  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP003
InvoiceNo  2021125888  | DocDate   7/5/2021 11:19:45 AM  | Currency Code  ZWL  | Customer Number   PR25701319408   |Reference    22307  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  2021125723  | DocDate   7/7/2021 8:08:01 AM  | Currency Code  ZWL  | Customer Number   PR9084211296   |Reference    22155  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  2021125273  | DocDate   7/5/2021 7:12:01 AM  | Currency Code  ZWL  | Customer Number   PR1125701034   |Reference    21716  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF004
InvoiceNo  2021124705  | DocDate   7/6/2021 1:01:08 PM  | Currency Code  ZWL  | Customer Number   PR83130920584   |Reference    21148  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP001
InvoiceNo  2021124678  | DocDate   7/6/2021 12:59:35 PM  | Currency Code  ZWL  | Customer Number   PR83130920584   |Reference    21124  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SL005
InvoiceNo  2021123850  | DocDate   7/1/2021 7:55:11 AM  | Currency Code  ZWL  | Customer Number   PR77120220595   |Reference    20307  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  2021123604  | DocDate   7/8/2021 7:54:08 AM  | Currency Code  ZWL  | Customer Number   PR12530113448   |Reference    20050  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  2021123563  | DocDate   7/6/2021 10:24:13 AM  | Currency Code  ZWL  | Customer Number   PR92439913546   |Reference    20020  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GV002
InvoiceNo  2021123538  | DocDate   7/1/2021 1:05:01 PM  | Currency Code  ZWL  | Customer Number   PR30851920518   |Reference    19991  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  2021122807  | DocDate   7/5/2021 8:11:10 AM  | Currency Code  ZWL  | Customer Number   PR6246814913   |Reference    19129  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  2021122634  | DocDate   7/7/2021 12:34:38 PM  | Currency Code  ZWL  | Customer Number   PR66808220340   |Reference    18936  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004
InvoiceNo  20203202011472  | DocDate   7/5/2021 10:32:40 AM  | Currency Code  ZWL  | Customer Number   PR57385110438   |Reference    18527  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS001
InvoiceNo  20201221519  | DocDate   7/5/2021 3:26:43 PM  | Currency Code  ZWL  | Customer Number   PR95729620069   |Reference    16962  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20201221180  | DocDate   7/6/2021 7:21:22 AM  | Currency Code  ZWL  | Customer Number   PR30998319698   |Reference    16444  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC003
InvoiceNo  20201220894  | DocDate   7/1/2021 1:51:24 PM  | Currency Code  ZWL  | Customer Number   PR22819317453   |Reference    16072  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Pa
Invoices Entry :9:55:43 AM Wednesday, July 21, 2021
=====================================================================Invoices=====================================================================================
InvoiceNo  202162944386  | DocDate   7/9/2021 1:07:19 PM  | Currency Code  ZWL  | Customer Number   PR4572326929   |Reference    40489  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SZ006
InvoiceNo  20217944929  | DocDate   7/9/2021 12:41:37 PM  | Currency Code  ZWL  | Customer Number   PR7441524099   |Reference    41102  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217344634  | DocDate   7/9/2021 12:36:38 PM  | Currency Code  ZWL  | Customer Number   PR75843417802   |Reference    40775  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217844845  | DocDate   7/9/2021 12:33:00 PM  | Currency Code  ZWL  | Customer Number   PR59611927185   |Reference    41010  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217544653  | DocDate   7/9/2021 12:18:48 PM  | Currency Code  ZWL  | Customer Number   PR35303425040   |Reference    40797  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217944890  | DocDate   7/9/2021 12:05:20 PM  | Currency Code  ZWL  | Customer Number   PR967949997   |Reference    41059  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP006
InvoiceNo  202162344021  | DocDate   7/9/2021 11:43:17 AM  | Currency Code  ZWL  | Customer Number   PR45181414076   |Reference    40112  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  202161643547  | DocDate   7/9/2021 11:34:45 AM  | Currency Code  ZWL  | Customer Number   PR42769626421   |Reference    39641  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP002
InvoiceNo  202162143923  | DocDate   7/9/2021 11:33:20 AM  | Currency Code  ZWL  | Customer Number   PR95494826721   |Reference    40013  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC008
InvoiceNo  20217544687  | DocDate   7/9/2021 11:22:52 AM  | Currency Code  ZWL  | Customer Number   PR94797921275   |Reference    40838  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217944910  | DocDate   7/9/2021 11:21:45 AM  | Currency Code  ZWL  | Customer Number   PR999113251   |Reference    41081  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217744779  | DocDate   7/9/2021 11:18:47 AM  | Currency Code  ZWL  | Customer Number   PR36826127152   |Reference    40939  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  202121831724  | DocDate   7/9/2021 11:14:12 AM  | Currency Code  ZWL  | Customer Number   PR37279722205   |Reference    27701  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217744797  | DocDate   7/9/2021 11:14:08 AM  | Currency Code  ZWL  | Customer Number   PR86100115525   |Reference    40960  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM004
InvoiceNo  20217744807  | DocDate   7/9/2021 11:12:58 AM  | Currency Code  ZWL  | Customer Number   PR17539027181   |Reference    40970  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217844817  | DocDate   7/9/2021 11:12:19 AM  | Currency Code  ZWL  | Customer Number   PR14406923299   |Reference    40980  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GU005
InvoiceNo  20217844831  | DocDate   7/9/2021 11:11:26 AM  | Currency Code  ZWL  | Customer Number   PR4521837772   |Reference    40994  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS001
InvoiceNo  20217844836  | DocDate   7/9/2021 11:09:32 AM  | Currency Code  ZWL  | Customer Number   PR1679003364   |Reference    41000  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SH004
InvoiceNo  20217844862  | DocDate   7/9/2021 11:06:50 AM  | Currency Code  ZWL  | Customer Number   PR724007696   |Reference    41028  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217844873  | DocDate   7/9/2021 11:05:34 AM  | Currency Code  ZWL  | Customer Number   PR43971727162   |Reference    41039  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GB003
InvoiceNo  20217944920  | DocDate   7/9/2021 11:00:52 AM  | Currency Code  ZWL  | Customer Number   PR8037526981   |Reference    41091  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  20217944902  | DocDate   7/9/2021 11:00:39 AM  | Currency Code  ZWL  | Customer Number   PR38928812348   |Reference    41073  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GH001
InvoiceNo  20217944904  | DocDate   7/9/2021 11:00:00 AM  | Currency Code  ZWL  | Customer Number   PR88921825857   |Reference    41075  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217744781  | DocDate   7/9/2021 10:56:03 AM  | Currency Code  ZWL  | Customer Number   PR12652415414   |Reference    40942  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SA001
InvoiceNo  20217944912  | DocDate   7/9/2021 10:54:25 AM  | Currency Code  ZWL  | Customer Number   PR5287127233   |Reference    41083  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP004
InvoiceNo  20217844854  | DocDate   7/9/2021 10:39:35 AM  | Currency Code  ZWL  | Customer Number   PR54635227204   |Reference    41020  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF003
InvoiceNo  20217844832  | DocDate   7/9/2021 10:25:50 AM  | Currency Code  ZWL  | Customer Number   PR75362619010   |Reference    40995  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP005
InvoiceNo  202161143172  | DocDate   7/9/2021 10:16:30 AM  | Currency Code  ZWL  | Customer Number   PR9162016075   |Reference    39215  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS006
InvoiceNo  20217944889  | DocDate   7/9/2021 10:14:52 AM  | Currency Code  ZWL  | Customer Number   PR33873015003   |Reference    41058  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217744787  | DocDate   7/9/2021 10:08:39 AM  | Currency Code  ZWL  | Customer Number   PR92904612868   |Reference    40950  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217244592  | DocDate   7/9/2021 10:08:18 AM  | Currency Code  ZWL  | Customer Number   PR23647610429   |Reference    40731  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  202162444207  | DocDate   7/9/2021 10:05:52 AM  | Currency Code  ZWL  | Customer Number   PR45181414076   |Reference    40291  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS004
InvoiceNo  20214637388  | DocDate   7/9/2021 10:04:41 AM  | Currency Code  ZWL  | Customer Number   PR14542999   |Reference    33374  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP005
InvoiceNo  20217844840  | DocDate   7/9/2021 10:03:35 AM  | Currency Code  ZWL  | Customer Number   PR36627627186   |Reference    41005  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  2021228867  | DocDate   7/9/2021 10:01:22 AM  | Currency Code  ZWL  | Customer Number   PR5490506661   |Reference    25179  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217944905  | DocDate   7/9/2021 9:50:06 AM  | Currency Code  ZWL  | Customer Number   PR16144827029   |Reference    41076  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB005
InvoiceNo  20217844860  | DocDate   7/9/2021 9:45:09 AM  | Currency Code  ZWL  | Customer Number   PR10978627205   |Reference    41026  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM002
InvoiceNo  20217944897  | DocDate   7/9/2021 9:45:02 AM  | Currency Code  ZWL  | Customer Number   PR3027214510   |Reference    41066  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM001
InvoiceNo  20217644732  | DocDate   7/9/2021 9:39:36 AM  | Currency Code  ZWL  | Customer Number   PR30785510290   |Reference    40884  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  20217244558  | DocDate   7/9/2021 9:16:47 AM  | Currency Code  ZWL  | Customer Number   PR45758511208   |Reference    40692  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  ST001
InvoiceNo  20217844823  | DocDate   7/9/2021 8:45:40 AM  | Currency Code  ZWL  | Customer Number   PR1645488205   |Reference    40986  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP003
InvoiceNo  20217844827  | DocDate   7/9/2021 8:39:34 AM  | Currency Code  ZWL  | Customer Number   PR31460010333   |Reference    40990  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GM003
InvoiceNo  20217644753  | DocDate   7/9/2021 8:38:01 AM  | Currency Code  ZWL  | Customer Number   PR1340227138   |Reference    40907  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SP001
InvoiceNo  20217244602  | DocDate   7/9/2021 8:34:08 AM  | Currency Code  ZWL  | Customer Number   PR48285627054   |Reference    40742  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004
InvoiceNo  20217944900  | DocDate   7/9/2021 8:28:01 AM  | Currency Code  ZWL  | Customer Number   PR4081703465   |Reference    41069  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GN005
InvoiceNo  20217944898  | DocDate   7/9/2021 8:21:55 AM  | Currency Code  ZWL  | Customer Number   PR44044127148   |Reference    41067  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  202162544275  | DocDate   7/9/2021 8:20:00 AM  | Currency Code  ZWL  | Customer Number   PR7128426859   |Reference    40366  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004
InvoiceNo  20216842852  | DocDate   7/9/2021 8:15:51 AM  | Currency Code  ZWL  | Customer Number   PR75358126165   |Reference    38907  | SubTotal   16000     |total   $16000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GN004
InvoiceNo  20217644728  | DocDate   7/9/2021 8:15:02 AM  | Currency Code  ZWL  | Customer Number   PR87830727115   |Reference    40880  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP001
InvoiceNo  20217844819  | DocDate   7/9/2021 8:13:03 AM  | Currency Code  ZWL  | Customer Number   PR80174523889   |Reference    40982  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS002
InvoiceNo  20201219844  | DocDate   7/9/2021 8:02:53 AM  | Currency Code  ZWL  | Customer Number   PR6491179296   |Reference    14591  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  20217644741  | DocDate   7/9/2021 8:00:30 AM  | Currency Code  ZWL  | Customer Number   PR65909910208   |Reference    40894  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GN005
InvoiceNo  202162944376  | DocDate   7/9/2021 7:58:33 AM  | Currency Code  ZWL  | Customer Number   PR89934815625   |Reference    40478  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GE001
InvoiceNo  20217944895  | DocDate   7/9/2021 7:56:55 AM  | Currency Code  ZWL  | Customer Number   PR1207678142   |Reference    41064  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SC006
InvoiceNo  20217844864  | DocDate   7/9/2021 7:54:53 AM  | Currency Code  ZWL  | Customer Number   PR9499227168   |Reference    41030  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GS002
InvoiceNo  20217844875  | DocDate   7/9/2021 7:52:51 AM  | Currency Code  ZWL  | Customer Number   PR71191727217   |Reference    41041  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF004
InvoiceNo  20217844878  | DocDate   7/9/2021 7:51:55 AM  | Currency Code  ZWL  | Customer Number   PR53035817235   |Reference    41045  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC006
InvoiceNo  20217844869  | DocDate   7/9/2021 7:42:03 AM  | Currency Code  ZWL  | Customer Number   PR9695426834   |Reference    41035  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GF003
InvoiceNo  20217744767  | DocDate   7/9/2021 7:17:34 AM  | Currency Code  ZWL  | Customer Number   PR8489023452   |Reference    40922  | SubTotal   24000     |total   $24000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GT002
InvoiceNo  202163044461  | DocDate   7/9/2021 7:06:16 AM  | Currency Code  ZWL  | Customer Number   PR6769247936   |Reference    40575  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB004
InvoiceNo  20217844872  | DocDate   7/9/2021 7:01:48 AM  | Currency Code  ZWL  | Customer Number   PR16138312724   |Reference    41038  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  202161943769  | DocDate   7/9/2021 6:38:26 AM  | Currency Code  ZWL  | Customer Number   PR30668926669   |Reference    39864  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SS002
InvoiceNo  20217844870  | DocDate   7/9/2021 6:32:25 AM  | Currency Code  ZWL  | Customer Number   PR8623913675   |Reference    41036  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SM001
InvoiceNo  20217744774  | DocDate   7/9/2021 6:30:39 AM  | Currency Code  ZWL  | Customer Number   PR39464425049   |Reference    40934  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SQ001
InvoiceNo  20217844876  | DocDate   7/9/2021 5:59:11 AM  | Currency Code  ZWL  | Customer Number   PR6062027064   |Reference    41042  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SB003
InvoiceNo  20217944886  | DocDate   7/9/2021 5:56:09 AM  | Currency Code  ZWL  | Customer Number   PR82476824979   |Reference    41054  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GP004B
InvoiceNo  20217944884  | DocDate   7/9/2021 5:05:15 AM  | Currency Code  ZWL  | Customer Number   PR75880025374   |Reference    41052  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  GC007
InvoiceNo  20217844882  | DocDate   7/8/2021 10:22:33 PM  | Currency Code  ZWL  | Customer Number   PR24582127218   |Reference    41050  | SubTotal   8000     |total   $8000  | SalesName   Praz Online Portal    Additional Info   SUPPLIER Part Number  SA001
